,Wavelength[nm],Average
,320.469,-15
,323.166,25
,325.861,67
,328.553,21
,331.243,34
,333.93,30
,336.615,74
,339.297,40
,341.976,21
,344.653,57
,347.327,64
,349.998,68
,352.666,38
,355.331,58
,357.994,37
,360.653,29
,363.309,35
,365.962,70
,368.612,62
,371.259,87
,373.903,89
,376.543,93
,379.18,136
,381.813,180
,384.443,395
,387.07,1008
,389.693,3003
,392.313,7551
,394.929,14789
,397.541,22264
,400.15,28818
,402.755,32964
,405.356,34377
,407.954,34850
,410.547,33039
,413.137,29459
,415.723,25973
,418.305,22428
,420.883,18345
,423.457,14414
,426.027,10902
,428.593,8690
,431.154,6759
,433.712,5605
,436.265,4743
,438.814,4092
,441.359,3707
,443.9,3377
,446.436,3079
,448.967,2995
,451.495,2961
,454.018,2913
,456.536,2865
,459.05,2873
,461.559,2827
,464.064,2855
,466.564,2871
,469.06,2947
,471.551,3055
,474.037,3100
,476.518,3083
,478.995,3086
,481.467,3141
,483.934,3216
,486.396,3282
,488.853,3383
,491.305,3448
,493.753,3522
,496.195,3430
,498.632,3567
,501.065,3618
,503.492,3683
,505.914,3711
,508.332,3763
,510.743,3837
,513.15,3844
,515.552,3932
,517.948,3887
,520.339,3836
,522.725,3728
,525.106,3680
,527.481,3586
,529.851,3639
,532.216,3672
,534.575,3726
,536.929,3633
,539.277,3621
,541.62,3643
,543.957,3544
,546.289,3450
,548.616,3328
,550.936,3330
,553.252,3225
,555.561,3165
,557.865,3052
,560.164,2883
,562.457,2779
,564.744,2640
,567.025,2573
,569.301,2556
,571.571,2391
,573.835,2299
,576.093,2163
,578.346,2092
,580.593,2071
,582.834,2022
,585.069,1941
,587.299,1779
,589.522,1705
,591.74,1623
,593.952,1630
,596.158,1502
,598.358,1453
,600.551,1314
,602.739,1363
,604.922,1316
,607.098,1239
,609.268,1144
,611.432,1111
,613.59,1038
,615.742,1001
,617.887,992
,620.027,981
,622.161,923
,624.289,900
,626.41,828
,628.526,821
,630.635,773
,632.738,794
,634.835,744
,636.926,712
,639.011,671
,641.089,685
,643.162,632
,645.228,616
,647.288,570
,649.341,530
,651.389,544
,653.43,513
,655.465,478
,657.494,484
,659.516,453
,661.532,416
,663.542,418
,665.546,387
,667.543,370
,669.535,399
,671.519,380
,673.498,377
,675.47,359
,677.436,345
,679.396,329
,681.349,326
,683.296,330
,685.236,339
,687.171,302
,689.099,302
,691.02,291
,692.935,254
,694.844,236
,696.747,214
,698.643,254
,700.533,218
,702.416,197
,704.293,166
,706.164,176
,708.029,178
,709.887,131
,711.738,141
,713.584,161
,715.423,100
,717.255,121
,719.082,119
,720.901,119
,722.715,128
,724.522,111
,726.323,105
,728.117,120
,729.905,127
,731.687,122
,733.462,93
,735.232,104
,736.994,109
,738.751,77
,740.501,98
,742.244,96
,743.982,34
,745.713,79
,747.437,52
,749.156,67
,750.868,66
,752.573,34
,754.273,61
,755.966,29
,757.653,69
,759.333,50
,761.008,81
,762.676,48
,764.337,53
,765.993,66
,767.642,25
,769.285,31
,770.922,40
,772.552,52
,774.176,12
,775.795,13
,777.406,39
,779.012,44
,780.611,0
,782.205,70
,783.792,19
,785.373,64
,786.947,54
,788.516,50
,790.078,57
,791.635,0
,793.185,48
,794.729,18
,796.267,-3
,797.799,-13
,799.325,38
,800.844,37
,802.358,-6
,803.866,43
,805.368,38
,806.863,59
,808.353,31
,809.836,-2
,811.314,28
,812.786,-2
,814.252,-22
,815.711,7
,817.165,-22
,818.613,10
,820.055,-21
,821.491,34
,822.922,30
,824.346,31
,825.765,-2
,827.178,46
,828.585,-22
,829.986,-18
,831.381,44
,832.771,18
,834.155,-6
,835.533,52
,836.906,44
,838.272,26
,839.633,29
,840.989,9
,842.339,28
,843.683,8
,845.021,44
,846.354,-9
,847.682,-10
,849.004,28
,850.32,4
,851.631,25
,852.936,7
,854.236,11
,855.53,-6
,856.819,23
,858.102,48
,859.38,1
,860.653,-9
,861.92,22
,863.182,-4
,864.439,58
,865.69,13
,866.936,43
,868.177,5
,869.412,30
,870.642,13
,871.867,-5
,873.087,36
,874.302,9
,875.512,37
,876.716,6
,877.916,-20
,879.11,-14
,880.299,-2
,881.483,4
,882.663,32
,883.837,18
,885.006,50
,886.17,33
,887.33,-9
,888.484,29
