,Wavelength[nm],Average
,320.469,5
,323.166,0.823129
,325.861,0.801394
,328.553,0.730909
,331.243,0.696296
,333.93,0.683206
,336.615,0.662021
,339.297,0.633333
,341.976,0.811765
,344.653,0.84141
,347.327,0.869048
,349.998,0.752852
,352.666,0.838174
,355.331,0.848
,357.994,0.676
,360.653,0.769231
,363.309,0.757447
,365.962,0.70297
,368.612,0.830508
,371.259,0.517928
,373.903,0.711712
,376.543,0.954023
,379.18,0.861111
,381.813,0.55642
,384.443,0.663415
,387.07,0.55144
,389.693,0.688596
,392.313,0.859375
,394.929,0.861538
,397.541,0.70354
,400.15,0.726257
,402.755,1.02564
,405.356,0.890625
,407.954,0.974874
,410.547,1.0093
,413.137,0.780488
,415.723,0.760504
,418.305,0.714286
,420.883,0.742671
,423.457,0.689922
,426.027,0.687104
,428.593,0.667176
,431.154,0.676941
,433.712,0.680097
,436.265,0.641489
,438.814,0.674813
,441.359,0.660255
,443.9,0.673121
,446.436,0.671014
,448.967,0.663379
,451.495,0.680272
,454.018,0.674403
,456.536,0.680185
,459.05,0.697042
,461.559,0.715125
,464.064,0.731205
,466.564,0.734011
,469.06,0.726803
,471.551,0.718778
,474.037,0.718263
,476.518,0.716538
,478.995,0.710545
,481.467,0.714737
,483.934,0.714805
,486.396,0.713544
,488.853,0.720786
,491.305,0.731389
,493.753,0.727483
,496.195,0.733079
,498.632,0.740918
,501.065,0.743128
,503.492,0.759537
,505.914,0.761509
,508.332,0.770193
,510.743,0.783583
,513.15,0.794824
,515.552,0.80319
,517.948,0.809739
,520.339,0.812424
,522.725,0.821485
,525.106,0.829753
,527.481,0.838379
,529.851,0.846954
,532.216,0.854586
,534.575,0.863129
,536.929,0.863897
,539.277,0.87435
,541.62,0.872011
,543.957,0.873918
,546.289,0.878734
,548.616,0.88348
,550.936,0.882472
,553.252,0.886153
,555.561,0.885041
,557.865,0.887308
,560.164,0.889792
,562.457,0.890523
,564.744,0.888429
,567.025,0.886508
,569.301,0.89278
,571.571,0.894911
,573.835,0.890963
,576.093,0.895546
,578.346,0.898926
,580.593,0.902873
,582.834,0.907622
,585.069,0.912178
,587.299,0.908672
,589.522,0.91367
,591.74,0.912612
,593.952,0.916039
,596.158,0.913904
,598.358,0.9185
,600.551,0.919425
,602.739,0.916674
,604.922,0.918282
,607.098,0.915936
,609.268,0.918345
,611.432,0.914711
,613.59,0.91758
,615.742,0.919676
,617.887,0.919927
,620.027,0.920571
,622.161,0.918641
,624.289,0.913733
,626.41,0.912604
,628.526,0.915317
,630.635,0.913028
,632.738,0.913529
,634.835,0.909187
,636.926,0.912361
,639.011,0.912016
,641.089,0.916374
,643.162,0.918547
,645.228,0.912922
,647.288,0.914719
,649.341,0.914005
,651.389,0.908382
,653.43,0.910579
,655.465,0.913232
,657.494,0.900208
,659.516,0.902344
,661.532,0.900741
,663.542,0.902352
,665.546,0.901566
,667.543,0.908798
,669.535,0.912823
,671.519,0.906212
,673.498,0.898415
,675.47,0.902115
,677.436,0.901023
,679.396,0.902602
,681.349,0.905523
,683.296,0.917172
,685.236,0.896252
,687.171,0.896668
,689.099,0.903788
,691.02,0.911908
,692.935,0.906881
,694.844,0.904841
,696.747,0.901416
,698.643,0.911755
,700.533,0.910071
,702.416,0.904934
,704.293,0.905856
,706.164,0.895701
,708.029,0.906064
,709.887,0.916471
,711.738,0.908277
,713.584,0.906537
,715.423,0.916453
,717.255,0.914863
,719.082,0.905702
,720.901,0.900873
,722.715,0.914837
,724.522,0.913337
,726.323,0.911231
,728.117,0.902698
,729.905,0.895782
,731.687,0.90744
,733.462,0.898218
,735.232,0.888889
,736.994,0.895687
,738.751,0.869433
,740.501,0.896621
,742.244,0.902535
,743.982,0.887184
,745.713,0.886234
,747.437,0.909774
,749.156,0.904219
,750.868,0.871785
,752.573,0.897631
,754.273,0.919436
,755.966,0.891957
,757.653,0.892528
,759.333,0.877343
,761.008,0.852806
,762.676,0.849155
,764.337,0.864096
,765.993,0.889865
,767.642,0.907028
,769.285,0.924864
,770.922,0.915323
,772.552,0.915038
,774.176,0.901907
,775.795,0.891264
,777.406,0.932099
,779.012,0.859794
,780.611,0.914773
,782.205,0.891253
,783.792,0.860714
,785.373,0.864407
,786.947,0.844622
,788.516,0.773224
,790.078,0.861237
,791.635,0.813154
,793.185,0.848101
,794.729,0.822222
,796.267,0.909427
,797.799,0.910331
,799.325,0.82205
,800.844,0.808853
,802.358,0.80083
,803.866,0.906522
,805.368,0.876712
,806.863,0.758333
,808.353,0.883721
,809.836,0.798054
,811.314,0.928375
,812.786,0.787342
,814.252,0.814815
,815.711,0.702997
,817.165,0.879214
,818.613,0.900621
,820.055,0.740845
,821.491,0.805031
,822.922,0.878689
,824.346,0.786585
,825.765,0.993031
,827.178,0.9
,828.585,0.846667
,829.986,0.785714
,831.381,0.598684
,832.771,0.735099
,834.155,0.644737
,835.533,0.688312
,836.906,0.74744
,838.272,0.699301
,839.633,0.956364
,840.989,1.06122
,842.339,0.974729
,843.683,0.847584
,845.021,0.780769
,846.354,0.771654
,847.682,0.70632
,849.004,1.0186
,850.32,0.907173
,851.631,0.802419
,852.936,0.740741
,854.236,0.796748
,855.53,0.806452
,856.819,0.917431
,858.102,0.834783
,859.38,0.637131
,860.653,1.11224
,861.92,0.621622
,863.182,0.808163
,864.439,0.76569
,865.69,0.89604
,866.936,0.780172
,868.177,0.700441
,869.412,0.854167
,870.642,0.735577
,871.867,0.867299
,873.087,0.767544
,874.302,0.668342
,875.512,0.747312
,876.716,0.60804
,877.916,0.742105
,879.11,0.676617
,880.299,0.819209
,881.483,0.765854
,882.663,0.843023
,883.837,0.80226
,885.006,0.674033
,886.17,0.709845
,887.33,0.585366
,888.484,0.89881
